"time [h]"	"axial strain[%]"	"radial strain[%]"	"diff. stress[MPa]"	"eff. mean stress[MPa]"	"mean u[MPa]"
0.00	0.00	0.00	0.01	10.02	2.80
0.01	0.00	0.00	0.01	10.01	2.80
0.01	0.00	0.00	0.02	10.01	2.80
0.02	0.00	0.00	0.01	10.01	2.80
0.02	0.00	0.00	0.01	10.01	2.80
0.03	0.00	0.00	0.02	10.01	2.80
0.03	0.00	0.00	0.02	10.01	2.80
0.04	0.00	0.00	0.06	10.02	2.80
0.04	0.00	0.00	0.05	10.02	2.80
0.05	0.00	0.00	0.04	10.02	2.80
0.06	0.00	0.00	0.04	10.02	2.80
0.06	0.00	0.00	0.04	10.02	2.79
0.07	0.00	0.00	0.05	10.02	2.79
0.07	0.00	0.00	0.06	10.03	2.79
0.08	0.00	0.00	0.07	10.03	2.79
0.08	0.00	0.00	0.08	10.03	2.80
0.09	0.00	0.00	0.09	10.02	2.81
0.09	0.00	0.00	0.09	10.03	2.80
0.10	0.00	0.00	0.11	10.04	2.80
0.11	0.00	0.00	0.12	10.03	2.81
0.11	0.00	0.00	0.13	10.02	2.82
0.12	0.00	0.00	0.14	10.03	2.81
0.12	0.00	0.00	0.15	10.03	2.82
0.13	0.00	0.00	0.15	10.04	2.81
0.13	0.00	0.00	0.16	10.04	2.81
0.14	0.00	0.00	0.17	10.04	2.82
0.14	0.00	0.00	0.18	10.04	2.82
0.15	0.00	0.00	0.19	10.04	2.82
0.16	0.00	0.00	0.20	10.04	2.83
0.16	0.00	0.00	0.21	10.03	2.84
0.17	0.00	0.00	0.22	10.04	2.84
0.17	0.00	0.00	0.23	10.04	2.83
0.18	0.00	0.00	0.24	10.06	2.82
0.18	0.00	0.00	0.25	10.05	2.83
0.19	0.00	0.00	0.26	10.05	2.84
0.19	0.00	0.00	0.27	10.04	2.85
0.20	0.00	0.00	0.27	10.05	2.84
0.21	0.00	0.00	0.28	10.05	2.84
0.21	0.00	0.00	0.29	10.06	2.84
0.22	0.00	0.00	0.30	10.06	2.84
0.22	0.00	0.00	0.31	10.06	2.84
0.23	0.00	0.00	0.32	10.05	2.86
0.23	0.00	0.00	0.33	10.05	2.86
0.24	0.00	0.00	0.34	10.06	2.86
0.24	0.01	0.00	0.35	10.06	2.86
0.25	0.01	0.00	0.36	10.07	2.85
0.26	0.01	0.00	0.36	10.07	2.85
0.26	0.01	0.00	0.37	10.06	2.86
0.27	0.01	0.00	0.38	10.05	2.87
0.27	0.01	0.00	0.39	10.06	2.87
0.28	0.01	-0.01	0.40	10.07	2.87
0.28	0.01	-0.01	0.41	10.08	2.86
0.29	0.01	-0.01	0.42	10.08	2.86
0.29	0.01	-0.01	0.43	10.07	2.87
0.30	0.01	-0.01	0.44	10.07	2.88
0.31	0.01	-0.01	0.44	10.06	2.89
0.31	0.01	-0.01	0.45	10.07	2.88
0.32	0.01	-0.01	0.46	10.08	2.88
0.32	0.01	-0.01	0.47	10.09	2.87
0.33	0.01	-0.01	0.48	10.09	2.87
0.33	0.01	-0.01	0.49	10.08	2.88
0.34	0.01	-0.01	0.49	10.08	2.88
0.34	0.01	-0.01	0.50	10.09	2.88
0.35	0.01	-0.01	0.51	10.10	2.87
0.36	0.01	-0.01	0.52	10.09	2.88
0.36	0.01	-0.01	0.53	10.08	2.89
0.37	0.01	-0.01	0.54	10.08	2.90
0.37	0.01	-0.01	0.55	10.07	2.91
0.38	0.01	-0.01	0.56	10.08	2.90
0.38	0.01	-0.01	0.57	10.08	2.91
0.39	0.01	-0.01	0.57	10.08	2.91
0.39	0.01	-0.01	0.58	10.07	2.92
0.40	0.01	-0.01	0.59	10.08	2.91
0.41	0.01	-0.01	0.60	10.08	2.91
0.41	0.01	-0.01	0.61	10.08	2.92
0.42	0.01	-0.01	0.61	10.09	2.92
0.42	0.01	-0.01	0.62	10.09	2.92
0.43	0.01	-0.01	0.63	10.09	2.92
0.43	0.01	-0.01	0.64	10.08	2.93
0.44	0.01	-0.01	0.65	10.09	2.93
0.44	0.01	-0.01	0.66	10.09	2.93
0.45	0.01	-0.01	0.66	10.09	2.93
0.46	0.01	-0.01	0.67	10.09	2.94
0.46	0.01	-0.01	0.68	10.08	2.94
0.47	0.01	-0.01	0.69	10.09	2.94
0.47	0.01	-0.01	0.70	10.09	2.94
0.48	0.01	-0.01	0.71	10.09	2.95
0.48	0.01	-0.01	0.71	10.08	2.96
0.49	0.01	-0.01	0.72	10.08	2.96
0.49	0.01	-0.01	0.73	10.09	2.96
0.50	0.01	-0.01	0.74	10.09	2.95
0.51	0.01	-0.01	0.75	10.10	2.95
0.51	0.01	-0.01	0.75	10.10	2.95
0.52	0.01	-0.01	0.76	10.10	2.96
0.52	0.02	-0.01	0.77	10.09	2.97
0.53	0.02	-0.01	0.78	10.08	2.97
0.53	0.02	-0.01	0.79	10.08	2.98
0.54	0.02	-0.01	0.79	10.09	2.97
0.54	0.02	-0.01	0.80	10.09	2.97
0.55	0.02	-0.01	0.81	10.10	2.97
0.56	0.02	-0.01	0.82	10.10	2.97
0.56	0.02	-0.01	0.82	10.11	2.97
0.57	0.02	-0.01	0.83	10.11	2.96
0.57	0.02	-0.01	0.84	10.11	2.97
0.58	0.02	-0.01	0.85	10.11	2.97
0.58	0.02	-0.01	0.85	10.13	2.96
0.59	0.02	-0.01	0.86	10.13	2.96
0.59	0.02	-0.01	0.87	10.12	2.97
0.60	0.02	-0.01	0.88	10.11	2.98
0.61	0.02	-0.01	0.89	10.11	2.99
0.61	0.02	-0.01	0.89	10.11	2.99
0.62	0.02	-0.01	0.90	10.13	2.97
0.62	0.02	-0.01	0.91	10.14	2.96
0.63	0.02	-0.01	0.91	10.14	2.97
0.63	0.02	-0.01	0.92	10.13	2.98
0.64	0.02	-0.01	0.93	10.11	3.00
0.64	0.02	-0.01	0.94	10.10	3.01
0.65	0.02	-0.01	0.94	10.09	3.02
0.66	0.02	-0.01	0.95	10.09	3.03
0.66	0.02	-0.01	0.96	10.10	3.03
0.67	0.02	-0.01	0.97	10.10	3.02
0.67	0.02	-0.01	0.98	10.10	3.02
0.68	0.02	-0.01	0.98	10.10	3.03
0.68	0.02	-0.01	0.99	10.10	3.03
0.69	0.02	-0.01	1.00	10.09	3.04
0.69	0.02	-0.01	1.01	10.09	3.05
0.70	0.02	-0.01	1.01	10.10	3.04
0.71	0.02	-0.01	1.02	10.10	3.04
0.71	0.02	-0.01	1.03	10.10	3.05
0.72	0.02	-0.01	1.04	10.11	3.04
0.72	0.02	-0.01	1.04	10.10	3.04
0.73	0.02	-0.01	1.05	10.10	3.05
0.73	0.02	-0.02	1.06	10.09	3.06
0.74	0.02	-0.02	1.07	10.10	3.05
0.74	0.02	-0.01	1.07	10.10	3.05
0.75	0.02	-0.02	1.08	10.10	3.06
0.76	0.02	-0.02	1.09	10.10	3.06
0.76	0.02	-0.02	1.09	10.10	3.06
0.77	0.02	-0.02	1.10	10.10	3.07
0.77	0.02	-0.02	1.11	10.10	3.07
0.78	0.02	-0.02	1.11	10.10	3.08
